epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2966.39,1.98135,1.58794,1.36541,0.49373,0.59958,0.59348,0.26707,2.15697,1.6811,1.36843,0.008614,0.008614,0.008614
44,3035.82,1.9693,1.57011,1.35946,0.47732,0.63945,0.5954,0.27745,2.14508,1.69321,1.35505,0.008581,0.008581,0.008581
45,3105.17,1.96181,1.55888,1.36009,0.6365,0.55373,0.59241,0.26872,2.14627,1.67473,1.36977,0.008548,0.008548,0.008548
46,3173.95,1.95657,1.5399,1.35202,0.63991,0.57603,0.60539,0.27732,2.15362,1.67563,1.36634,0.008515,0.008515,0.008515
47,3243,1.95768,1.55069,1.35088,0.56624,0.59253,0.60256,0.28919,2.1557,1.67613,1.37709,0.008482,0.008482,0.008482
48,3311.12,1.94356,1.51669,1.32471,0.60954,0.57038,0.60255,0.28886,2.14295,1.67159,1.37325,0.008449,0.008449,0.008449
49,3379.2,1.93917,1.51783,1.33599,0.59152,0.57539,0.61283,0.27599,2.14632,1.6719,1.38372,0.008416,0.008416,0.008416
50,3447.4,1.93623,1.49235,1.32822,0.56818,0.59805,0.56507,0.26985,2.15025,1.67481,1.38542,0.008383,0.008383,0.008383
51,3515.73,1.93147,1.49735,1.33927,0.55343,0.59896,0.60507,0.28102,2.16707,1.66948,1.38273,0.00835,0.00835,0.00835
52,3584.85,1.92233,1.48062,1.33424,0.59836,0.59772,0.61136,0.27135,2.16086,1.67596,1.37758,0.008317,0.008317,0.008317
53,3654.31,1.91456,1.46388,1.32001,0.63618,0.572,0.62209,0.27687,2.16771,1.67653,1.39326,0.008284,0.008284,0.008284
54,3722.64,1.91059,1.45188,1.32703,0.65538,0.56537,0.62702,0.28858,2.17579,1.6773,1.40378,0.008251,0.008251,0.008251
55,3790.9,1.91383,1.46967,1.32107,0.62946,0.58033,0.62276,0.28491,2.16082,1.69604,1.38266,0.008218,0.008218,0.008218
56,3859.24,1.8982,1.44798,1.31348,0.62725,0.59013,0.62291,0.29173,2.17315,1.69674,1.38444,0.008185,0.008185,0.008185
57,3927.53,1.90077,1.42328,1.31083,0.52128,0.65222,0.61632,0.28456,2.18974,1.70186,1.39422,0.008152,0.008152,0.008152
58,3996.15,1.89801,1.421,1.30471,0.52435,0.63409,0.61802,0.26402,2.19531,1.68866,1.40046,0.008119,0.008119,0.008119
59,4064.83,1.88918,1.42134,1.308,0.62155,0.55694,0.62439,0.28641,2.18169,1.68102,1.38674,0.008086,0.008086,0.008086
60,4133.88,1.87653,1.41492,1.30622,0.55861,0.60621,0.61973,0.29762,2.17682,1.68139,1.38243,0.008053,0.008053,0.008053
61,4203.24,1.88336,1.40942,1.30379,0.49111,0.67078,0.61915,0.30015,2.16952,1.67398,1.37958,0.00802,0.00802,0.00802
62,4271.88,1.86562,1.3816,1.29247,0.59767,0.50526,0.61457,0.28973,2.17185,1.66058,1.38119,0.007987,0.007987,0.007987
