epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,809.861,0.55577,0.4332,0.39836,1.09324,0.99567,0.93872,0.9522,0.92699,0.99567,0.93872,0.95186,0.93285,0.27248,0.51201,0.36939,0.90137,0.009043,0.009043,0.009043
31,836.294,0.56577,0.43944,0.40041,1.10054,0.98434,0.94068,0.96751,0.92945,0.98575,0.94132,0.96608,0.93677,0.30801,0.51807,0.40073,0.93269,0.00901,0.00901,0.00901
32,862.841,0.56354,0.44547,0.39922,1.10181,0.99686,0.93878,0.967,0.93753,0.99686,0.93878,0.96646,0.94429,0.24354,0.48208,0.32648,0.89181,0.008977,0.008977,0.008977
33,889.37,0.56349,0.44322,0.39474,1.10229,0.99077,0.94286,0.95515,0.92877,0.99077,0.94286,0.95512,0.93308,0.26137,0.50319,0.54706,0.9047,0.008944,0.008944,0.008944
34,915.84,0.55314,0.44206,0.39314,1.08584,0.99569,0.94286,0.95785,0.93356,0.99383,0.94286,0.95707,0.9383,0.22164,0.51079,0.33915,0.87765,0.008911,0.008911,0.008911
35,942.427,0.54955,0.43059,0.38633,1.08911,0.99108,0.9415,0.95907,0.9341,0.98964,0.94014,0.95779,0.9411,0.227,0.51607,0.41512,0.8879,0.008878,0.008878,0.008878
36,969.012,0.54858,0.423,0.38318,1.09642,0.98421,0.93061,0.94816,0.92774,0.98468,0.93061,0.94792,0.92969,0.22076,0.42059,0.56876,0.87426,0.008845,0.008845,0.008845
37,996.043,0.54222,0.42833,0.38241,1.08642,0.99038,0.94422,0.97118,0.94132,0.99038,0.94422,0.96785,0.94399,0.21098,0.49572,0.31348,0.86782,0.008812,0.008812,0.008812
38,1022.74,0.55739,0.4316,0.38713,1.09518,0.97455,0.93784,0.96267,0.93414,0.96971,0.93878,0.96059,0.93565,0.23517,0.53392,0.36072,0.8809,0.008779,0.008779,0.008779
39,1049.16,0.55003,0.43205,0.38399,1.09074,0.99147,0.93469,0.97232,0.94122,0.99147,0.93469,0.97116,0.94404,0.22502,0.52441,0.24786,0.87685,0.008746,0.008746,0.008746
