epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3602.75,2.00901,1.62748,1.36203,0.59186,0.58518,0.61307,0.26169,2.1589,1.70218,1.32828,0.008614,0.008614,0.008614
44,3686.97,1.99651,1.61545,1.35879,0.59831,0.62488,0.63107,0.29201,2.16415,1.67464,1.3426,0.008581,0.008581,0.008581
45,3769.96,1.99297,1.60882,1.36311,0.57058,0.63356,0.62554,0.28672,2.16695,1.65416,1.33196,0.008548,0.008548,0.008548
46,3853.73,1.9918,1.59394,1.35449,0.53021,0.62017,0.61697,0.2832,2.1733,1.65729,1.34109,0.008515,0.008515,0.008515
47,3937.38,1.99169,1.60441,1.34912,0.60526,0.59067,0.629,0.30201,2.14724,1.68114,1.32892,0.008482,0.008482,0.008482
48,4020.65,1.97471,1.5714,1.33159,0.62638,0.58244,0.6171,0.29367,2.12421,1.66506,1.33098,0.008449,0.008449,0.008449
49,4104.64,1.97362,1.56246,1.33416,0.66092,0.5848,0.63446,0.29188,2.1426,1.67786,1.33035,0.008416,0.008416,0.008416
50,4188.67,1.97455,1.55236,1.33487,0.64035,0.62098,0.64263,0.29474,2.14588,1.65012,1.33384,0.008383,0.008383,0.008383
51,4272.77,1.96605,1.56167,1.33762,0.64318,0.60807,0.63036,0.28611,2.1264,1.65045,1.32066,0.00835,0.00835,0.00835
52,4355.61,1.94996,1.52203,1.33166,0.55402,0.6569,0.62283,0.28223,2.13111,1.64552,1.32055,0.008317,0.008317,0.008317
53,4438.75,1.95334,1.52358,1.32291,0.53703,0.64747,0.63796,0.29267,2.1366,1.66428,1.32485,0.008284,0.008284,0.008284
54,4521.81,1.94135,1.5077,1.32488,0.59203,0.62518,0.63972,0.31152,2.12752,1.66432,1.31974,0.008251,0.008251,0.008251
55,4605.72,1.94454,1.51632,1.32269,0.59013,0.63293,0.63527,0.29253,2.1385,1.67155,1.3259,0.008218,0.008218,0.008218
56,4688.94,1.93341,1.49846,1.3134,0.63031,0.58221,0.62636,0.28967,2.14336,1.65684,1.32966,0.008185,0.008185,0.008185
57,4772.8,1.93336,1.47934,1.31154,0.59238,0.60112,0.62375,0.28724,2.1391,1.65711,1.32746,0.008152,0.008152,0.008152
58,4856.48,1.92927,1.47834,1.30736,0.58353,0.62592,0.62158,0.28488,2.14241,1.65944,1.32585,0.008119,0.008119,0.008119
59,4939.55,1.92726,1.47765,1.3117,0.58733,0.62966,0.61898,0.28277,2.13631,1.65305,1.32104,0.008086,0.008086,0.008086
60,5022.97,1.92579,1.47305,1.31302,0.55747,0.64802,0.62356,0.28334,2.14172,1.644,1.32179,0.008053,0.008053,0.008053
61,5106.33,1.92282,1.46319,1.30595,0.58479,0.635,0.6316,0.29056,2.14466,1.6377,1.32425,0.00802,0.00802,0.00802
62,5189.4,1.90212,1.4404,1.29216,0.60164,0.62265,0.63666,0.29019,2.14618,1.6271,1.32515,0.007987,0.007987,0.007987
63,5273.08,1.90025,1.42503,1.30045,0.56012,0.63217,0.63849,0.29322,2.14469,1.62686,1.32757,0.007954,0.007954,0.007954
64,5356.69,1.90528,1.42654,1.29463,0.56516,0.63329,0.63769,0.29578,2.14123,1.63531,1.32749,0.007921,0.007921,0.007921
65,5439.42,1.8955,1.42133,1.29052,0.55078,0.65455,0.64402,0.29634,2.14249,1.65061,1.33175,0.007888,0.007888,0.007888
66,5523.4,1.88766,1.4115,1.29653,0.68691,0.5657,0.63641,0.29441,2.14028,1.65878,1.32956,0.007855,0.007855,0.007855
67,5606.76,1.88458,1.40447,1.29001,0.68655,0.56116,0.63298,0.29266,2.13959,1.66518,1.32716,0.007822,0.007822,0.007822
68,5689.7,1.87868,1.41338,1.29541,0.6734,0.55965,0.63324,0.29198,2.14304,1.67088,1.33106,0.007789,0.007789,0.007789
69,5772.84,1.88049,1.39669,1.28649,0.63159,0.5629,0.62886,0.29006,2.14443,1.67668,1.33251,0.007756,0.007756,0.007756
70,5856.92,1.87602,1.38985,1.2735,0.65322,0.55659,0.62825,0.28897,2.145,1.67232,1.33195,0.007723,0.007723,0.007723
71,5939.84,1.86598,1.37508,1.27052,0.65593,0.54199,0.62674,0.28717,2.14443,1.67458,1.33143,0.00769,0.00769,0.00769
72,6023.57,1.8597,1.37138,1.2698,0.65382,0.54055,0.62626,0.29076,2.14239,1.67322,1.33102,0.007657,0.007657,0.007657
73,6106.98,1.85854,1.36647,1.27437,0.66635,0.53832,0.62495,0.29876,2.14305,1.67031,1.33157,0.007624,0.007624,0.007624
74,6190.54,1.86162,1.37367,1.28016,0.65957,0.54149,0.62704,0.29885,2.14121,1.66817,1.33089,0.007591,0.007591,0.007591
75,6274.7,1.84981,1.34528,1.26832,0.6517,0.54238,0.627,0.29806,2.1411,1.66865,1.3298,0.007558,0.007558,0.007558
76,6358.75,1.8401,1.34787,1.26845,0.63209,0.55647,0.62553,0.29927,2.14068,1.66449,1.32867,0.007525,0.007525,0.007525
77,6442.5,1.83476,1.32896,1.26033,0.57472,0.59502,0.63199,0.29905,2.14053,1.66346,1.32771,0.007492,0.007492,0.007492
78,6526.48,1.83308,1.32536,1.263,0.57488,0.59815,0.63217,0.30106,2.14196,1.65916,1.32812,0.007459,0.007459,0.007459
79,6610.25,1.83596,1.33634,1.25728,0.57664,0.59703,0.62763,0.30042,2.14189,1.65859,1.32762,0.007426,0.007426,0.007426
80,6694.73,1.83321,1.31424,1.25751,0.61484,0.57216,0.62835,0.30007,2.14117,1.65648,1.32795,0.007393,0.007393,0.007393
81,6778.94,1.82552,1.30912,1.25897,0.59683,0.5779,0.62625,0.29899,2.14098,1.65695,1.32809,0.00736,0.00736,0.00736
82,6862.51,1.80749,1.29202,1.24995,0.64334,0.54853,0.62608,0.29883,2.14118,1.65796,1.32706,0.007327,0.007327,0.007327
83,6945.99,1.81194,1.30046,1.25138,0.61748,0.56608,0.62757,0.30121,2.13914,1.65799,1.32573,0.007294,0.007294,0.007294
84,7030.41,1.80098,1.28823,1.24424,0.65565,0.55178,0.62819,0.30102,2.13838,1.65643,1.32535,0.007261,0.007261,0.007261
85,7114.38,1.79948,1.28173,1.24271,0.61838,0.57216,0.62913,0.30127,2.13773,1.65342,1.32486,0.007228,0.007228,0.007228
86,7198.93,1.79385,1.27187,1.23795,0.64536,0.55874,0.62836,0.30073,2.13881,1.65241,1.32586,0.007195,0.007195,0.007195
87,7283.13,1.80161,1.26764,1.23509,0.64224,0.56513,0.62872,0.30124,2.13942,1.65049,1.32617,0.007162,0.007162,0.007162
88,7367.45,1.78903,1.25795,1.23105,0.61924,0.57182,0.62679,0.29915,2.13896,1.65034,1.32612,0.007129,0.007129,0.007129
89,7451.56,1.78034,1.24853,1.23195,0.63771,0.56652,0.62698,0.31081,2.13981,1.64896,1.32575,0.007096,0.007096,0.007096
90,7534.95,1.77906,1.2532,1.23515,0.62989,0.57421,0.62579,0.30721,2.14013,1.64871,1.32629,0.007063,0.007063,0.007063
91,7618.21,1.76692,1.23689,1.22384,0.66835,0.55735,0.62574,0.30742,2.13983,1.64921,1.32529,0.00703,0.00703,0.00703
92,7702.41,1.76967,1.23379,1.2223,0.66912,0.55238,0.62506,0.2956,2.13956,1.64893,1.32516,0.006997,0.006997,0.006997
93,7785.87,1.76575,1.23885,1.23024,0.66817,0.55397,0.62552,0.29593,2.14102,1.64719,1.32546,0.006964,0.006964,0.006964
94,7869.18,1.75526,1.21491,1.22028,0.67029,0.55025,0.62588,0.29876,2.14145,1.64661,1.32559,0.006931,0.006931,0.006931
95,7953.02,1.76409,1.2271,1.22262,0.6729,0.55177,0.6262,0.29627,2.14291,1.64584,1.32613,0.006898,0.006898,0.006898
96,8037.37,1.7434,1.2032,1.2168,0.66819,0.55539,0.62246,0.29567,2.14363,1.64573,1.32678,0.006865,0.006865,0.006865
97,8120.6,1.75668,1.21374,1.21071,0.65813,0.56014,0.62377,0.29615,2.14398,1.64562,1.32612,0.006832,0.006832,0.006832
98,8203.8,1.75378,1.20994,1.20948,0.65486,0.56154,0.62448,0.29775,2.14429,1.64558,1.32654,0.006799,0.006799,0.006799
99,8287.88,1.75632,1.19364,1.2108,0.65321,0.5623,0.62509,0.29728,2.14432,1.6452,1.32662,0.006766,0.006766,0.006766
100,8372.31,1.73933,1.19686,1.21468,0.65284,0.56781,0.62493,0.29918,2.14465,1.64568,1.32719,0.006733,0.006733,0.006733
101,8455.44,1.73986,1.18816,1.20456,0.64241,0.56831,0.62416,0.30024,2.14381,1.64682,1.32657,0.0067,0.0067,0.0067
102,8539.1,1.72513,1.17879,1.20168,0.63855,0.57017,0.62394,0.29822,2.14389,1.64725,1.32639,0.006667,0.006667,0.006667
103,8622.98,1.72181,1.18217,1.20309,0.63303,0.5712,0.62418,0.29869,2.14366,1.64693,1.32615,0.006634,0.006634,0.006634
104,8706.87,1.7225,1.16488,1.19812,0.62801,0.57315,0.62399,0.29839,2.14406,1.64743,1.32637,0.006601,0.006601,0.006601
105,8790.12,1.72202,1.17227,1.20491,0.62975,0.57306,0.62406,0.30943,2.14424,1.64823,1.32684,0.006568,0.006568,0.006568
106,8873.5,1.70988,1.15133,1.19741,0.63037,0.57332,0.62361,0.30907,2.14508,1.64971,1.32757,0.006535,0.006535,0.006535
107,8958.11,1.70307,1.14033,1.1868,0.62949,0.57219,0.62342,0.30705,2.14552,1.65082,1.32812,0.006502,0.006502,0.006502
108,9042.59,1.70547,1.14415,1.19096,0.62689,0.56924,0.62344,0.30826,2.14534,1.65124,1.32901,0.006469,0.006469,0.006469
109,9127.13,1.70959,1.15674,1.19813,0.62629,0.56947,0.62318,0.30917,2.14584,1.65178,1.32919,0.006436,0.006436,0.006436
110,9211.51,1.70489,1.14618,1.1863,0.64478,0.56587,0.62441,0.30974,2.14465,1.65256,1.32745,0.006403,0.006403,0.006403
111,9295.48,1.69099,1.13021,1.18546,0.61211,0.58271,0.62475,0.30906,2.1454,1.65288,1.32721,0.00637,0.00637,0.00637
112,9379.99,1.68423,1.11078,1.17927,0.60167,0.58939,0.62419,0.30988,2.14526,1.65389,1.3275,0.006337,0.006337,0.006337
113,9463.34,1.68517,1.1182,1.18017,0.60702,0.58715,0.62395,0.31055,2.14561,1.65479,1.32788,0.006304,0.006304,0.006304
114,9547.88,1.68511,1.11579,1.17409,0.61389,0.58037,0.62431,0.31012,2.14585,1.65575,1.32758,0.006271,0.006271,0.006271
