epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,763.577,0.5527,0.43123,0.40237,1.12517,0.99649,0.9415,0.96443,0.93093,0.99649,0.9415,0.96304,0.93277,0.2338,0.55251,0.33338,0.886,0.009043,0.009043,0.009043
31,788.617,0.55918,0.43213,0.39791,1.13351,0.99297,0.93878,0.95951,0.93362,0.98577,0.94422,0.95886,0.93749,0.25984,0.5113,0.36536,0.9008,0.00901,0.00901,0.00901
32,813.679,0.56066,0.44831,0.40061,1.1414,0.99674,0.94422,0.96231,0.93158,0.9957,0.94516,0.95921,0.93119,0.2676,0.57203,0.35571,0.92581,0.008977,0.008977,0.008977
33,838.745,0.56316,0.44103,0.39571,1.13526,0.98436,0.94014,0.96338,0.9323,0.98436,0.94014,0.96338,0.93756,0.26123,0.51224,0.35999,0.89833,0.008944,0.008944,0.008944
34,863.904,0.54243,0.4464,0.3887,1.11533,0.98666,0.93605,0.95918,0.9273,0.98523,0.93469,0.95828,0.93375,0.23938,0.53908,0.39351,0.89008,0.008911,0.008911,0.008911
35,888.996,0.54648,0.43051,0.39146,1.12424,0.98159,0.94327,0.96517,0.93165,0.98018,0.94191,0.96046,0.93383,0.23902,0.51977,0.32462,0.89082,0.008878,0.008878,0.008878
36,914.226,0.54106,0.42435,0.38071,1.12731,0.99405,0.93741,0.95204,0.92934,0.99261,0.93605,0.95185,0.93334,0.24391,0.49877,0.38269,0.88879,0.008845,0.008845,0.008845
37,939.416,0.53721,0.42602,0.38228,1.11728,0.99119,0.94286,0.96829,0.93489,0.98976,0.9415,0.96607,0.93473,0.24926,0.5572,0.31421,0.89336,0.008812,0.008812,0.008812
38,964.524,0.55097,0.43171,0.38382,1.12658,0.99853,0.93605,0.95173,0.92673,0.99696,0.93469,0.95099,0.93077,0.24124,0.5305,0.50919,0.89255,0.008779,0.008779,0.008779
39,989.609,0.53972,0.42484,0.38615,1.12359,0.99139,0.93963,0.95448,0.92972,0.99139,0.93963,0.95456,0.93125,0.23277,0.51428,0.40034,0.87971,0.008746,0.008746,0.008746
40,1014.86,0.54063,0.42878,0.38365,1.12484,0.99416,0.92573,0.94861,0.92339,0.99416,0.92573,0.94809,0.92109,0.23792,0.52398,0.44981,0.88572,0.008713,0.008713,0.008713
41,1039.83,0.53651,0.42514,0.37583,1.11686,0.99566,0.93636,0.95719,0.93607,0.99421,0.935,0.95604,0.93964,0.23311,0.50404,0.40086,0.87298,0.00868,0.00868,0.00868
42,1065.13,0.51032,0.39362,0.36487,1.09994,0.99268,0.94286,0.955,0.93454,0.99268,0.94286,0.95481,0.93796,0.20538,0.42958,0.42375,0.86823,0.008647,0.008647,0.008647
43,1090.09,0.53054,0.42473,0.37366,1.11409,0.99597,0.93878,0.95587,0.93209,0.99568,0.94141,0.95653,0.93839,0.23037,0.47794,0.35464,0.88937,0.008614,0.008614,0.008614
44,1115.15,0.53295,0.41583,0.37243,1.11031,0.99564,0.93143,0.95243,0.9277,0.99564,0.93143,0.95249,0.93339,0.23172,0.57255,0.47445,0.88968,0.008581,0.008581,0.008581
45,1140.24,0.52681,0.42882,0.37236,1.10897,0.99064,0.89796,0.9437,0.91819,0.98914,0.8966,0.94216,0.92277,0.22786,0.52718,0.46241,0.88783,0.008548,0.008548,0.008548
46,1165.32,0.52818,0.43028,0.37015,1.1112,0.99418,0.92945,0.96881,0.94246,0.99418,0.92945,0.96853,0.94323,0.21526,0.49189,0.39514,0.86428,0.008515,0.008515,0.008515
47,1190.27,0.51841,0.38847,0.36328,1.09753,0.97963,0.91612,0.96028,0.92836,0.97963,0.91612,0.95911,0.93093,0.24764,0.56629,0.34506,0.88246,0.008482,0.008482,0.008482
48,1215.18,0.52308,0.42767,0.37021,1.10257,0.99129,0.94966,0.96335,0.9388,0.98986,0.9483,0.95846,0.94184,0.2009,0.55508,0.34272,0.85971,0.008449,0.008449,0.008449
49,1240.06,0.51376,0.4007,0.36832,1.10313,0.98995,0.93829,0.95435,0.9344,0.98995,0.93829,0.95392,0.93728,0.25015,0.41597,0.48604,0.87365,0.008416,0.008416,0.008416
50,1264.99,0.52143,0.41675,0.35979,1.10753,0.99075,0.93878,0.97237,0.94582,0.9797,0.95102,0.97479,0.951,0.20802,0.5135,0.30114,0.86259,0.008383,0.008383,0.008383
51,1289.86,0.51877,0.40858,0.35951,1.10375,0.99138,0.93887,0.95104,0.92912,0.98994,0.93751,0.94977,0.93053,0.2116,0.51393,0.43776,0.87316,0.00835,0.00835,0.00835
52,1315.29,0.52785,0.39767,0.35944,1.11223,0.99006,0.94854,0.96566,0.94364,0.99006,0.94854,0.96442,0.94689,0.18692,0.48569,0.3289,0.85562,0.008317,0.008317,0.008317
53,1340.14,0.50521,0.38369,0.34443,1.09939,0.9954,0.94014,0.9597,0.94237,0.99003,0.94566,0.96163,0.94514,0.1997,0.4653,0.36638,0.8598,0.008284,0.008284,0.008284
54,1365.46,0.50328,0.43544,0.35661,1.10147,0.99058,0.94286,0.95544,0.93402,0.99058,0.94286,0.95568,0.93768,0.21998,0.48419,0.33716,0.87412,0.008251,0.008251,0.008251
55,1390.55,0.5185,0.40683,0.35878,1.10255,0.98518,0.93741,0.97126,0.94842,0.98375,0.93605,0.9673,0.95062,0.18853,0.55008,0.26887,0.85512,0.008218,0.008218,0.008218
56,1415.58,0.5199,0.39901,0.3559,1.10975,0.98725,0.94966,0.96531,0.94025,0.98579,0.9483,0.96479,0.94667,0.1974,0.53021,0.30762,0.85447,0.008185,0.008185,0.008185
57,1440.58,0.49963,0.38224,0.35234,1.09489,0.99686,0.9415,0.95468,0.93759,0.99425,0.94123,0.95454,0.94086,0.20298,0.4645,0.27232,0.8492,0.008152,0.008152,0.008152
