epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,455.281,1.58411,0.83446,1.04984,0.81018,0.72267,0.77085,0.36496,1.64507,0.90149,1.16114,0.0091882,0.0091882,0.0091882
43,466.211,1.57582,0.83233,1.06112,0.77737,0.66847,0.71974,0.3371,1.69377,0.97592,1.18736,0.0091684,0.0091684,0.0091684
44,477.068,1.54011,0.81376,1.0212,0.84843,0.71299,0.79495,0.37669,1.61981,0.93621,1.14254,0.0091486,0.0091486,0.0091486
45,488.044,1.56188,0.82332,1.04386,0.84508,0.68564,0.78024,0.36906,1.61016,0.91,1.13129,0.0091288,0.0091288,0.0091288
46,498.959,1.56057,0.82118,1.05213,0.83495,0.73573,0.81266,0.38664,1.59809,0.86059,1.12513,0.009109,0.009109,0.009109
47,509.857,1.5537,0.82047,1.03906,0.83477,0.75339,0.81352,0.3872,1.63927,0.8523,1.15781,0.0090892,0.0090892,0.0090892
48,520.831,1.53135,0.79993,1.02289,0.83351,0.6874,0.77662,0.36166,1.65063,0.91643,1.15607,0.0090694,0.0090694,0.0090694
49,531.759,1.55025,0.81237,1.04246,0.80527,0.66866,0.7439,0.34233,1.67368,0.99135,1.16591,0.0090496,0.0090496,0.0090496
50,542.492,1.52507,0.79908,1.03783,0.84048,0.71867,0.79336,0.38185,1.58951,0.8865,1.12894,0.0090298,0.0090298,0.0090298
51,553.106,1.53208,0.79118,1.02435,0.83747,0.72448,0.79918,0.37948,1.6406,0.88005,1.14187,0.00901,0.00901,0.00901
52,563.949,1.51462,0.77854,1.03352,0.83879,0.70033,0.77371,0.37078,1.60879,0.88541,1.1353,0.0089902,0.0089902,0.0089902
53,574.758,1.52869,0.79074,1.02787,0.8283,0.72809,0.79447,0.37883,1.61407,0.84863,1.13831,0.0089704,0.0089704,0.0089704
54,585.358,1.51371,0.78378,1.03018,0.79822,0.71635,0.7714,0.36324,1.64237,0.90546,1.15224,0.0089506,0.0089506,0.0089506
55,595.965,1.47441,0.76583,1.01881,0.82496,0.72802,0.79672,0.38111,1.61979,0.84959,1.13004,0.0089308,0.0089308,0.0089308
56,606.611,1.48542,0.75996,1.01759,0.84393,0.73757,0.80093,0.38424,1.58696,0.87982,1.13501,0.008911,0.008911,0.008911
57,617.237,1.48318,0.757,1.02068,0.81054,0.74202,0.79324,0.38971,1.55884,0.83256,1.1204,0.0088912,0.0088912,0.0088912
58,628.113,1.47611,0.75354,1.01338,0.82266,0.73333,0.79647,0.3806,1.63684,0.88771,1.151,0.0088714,0.0088714,0.0088714
59,638.788,1.49197,0.76018,1.01323,0.8243,0.75438,0.80815,0.38521,1.59225,0.83789,1.12032,0.0088516,0.0088516,0.0088516
